Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,CIK
QCOM,QUALCOMM Inc.,reports,Information Technology,Semiconductors,"San Diego, California",804328
DGX,Quest Diagnostics,reports,Health Care,Health Care Services,"Madison, New Jersey",1022079
RL,Ralph Lauren Corporation,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",1037038
RJF,Raymond James Financial Inc.,reports,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",720005
RTN,Raytheon Co.,reports,Industrials,Aerospace & Defense,"Waltham, Massachusetts",1047122
O,Realty Income Corporation,reports,Real Estate,Retail REITs,"San Diego, California",726728
REG,Regency Centers Corporation,reports,Real Estate,Retail REITs,"Jacksonville, Florida",910606
REGN,Regeneron Pharmaceuticals,reports,Health Care,Biotechnology,"Tarrytown, New York",872589
RF,Regions Financial Corp.,reports,Financials,Regional Banks,"Birmingham, Alabama",1281761
RSG,Republic Services Inc,reports,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",1060391
RMD,ResMed,reports,Health Care,Health Care Equipment,"San Diego, California",943819
RHI,Robert Half International,reports,Industrials,Human Resource & Employment Services,"Menlo Park, California",315213
ROK,Rockwell Automation Inc.,reports,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",1024478
ROL,Rollins Inc.,reports,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",84839
ROP,Roper Technologies,reports,Industrials,Industrial Conglomerates,"Sarasota, Florida",882835
ROST,Ross Stores,reports,Consumer Discretionary,Apparel Retail,"Pleasanton, California",745732
RCL,Royal Caribbean Cruises Ltd,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",884887
SPGI,"S&P Global, Inc.",reports,Financials,Financial Exchanges & Data,"New York, New York",64040
CRM,Salesforce.com,reports,Information Technology,Application Software,"San Francisco, California",1108524
SBAC,SBA Communications,reports,Real Estate,Specialized REITs,"Boca Raton, Florida",1034054
SLB,Schlumberger Ltd.,reports,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",87347
STX,Seagate Technology,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",1137789
SEE,Sealed Air,reports,Materials,Paper Packaging,"Elmwood Park, New Jersey",1012100
SRE,Sempra Energy,reports,Utilities,Multi-Utilities,"San Diego, California",1032208
NOW,ServiceNow,reports,Information Technology,Systems Software,"Santa Clara, California",1373715
SHW,Sherwin-Williams,reports,Materials,Specialty Chemicals,"Cleveland, Ohio",89800
SPG,Simon Property Group Inc,reports,Real Estate,Retail REITs,"Indianapolis, Indiana",1063761
SWKS,Skyworks Solutions,reports,Information Technology,Semiconductors,"Woburn, Massachusetts",4127
SLG,SL Green Realty,reports,Real Estate,Office REITs,"New York, New York",1040971
SNA,Snap-on,reports,Industrials,Industrial Machinery,"Kenosha, Wisconsin",91440
SO,Southern Co.,reports,Utilities,Electric Utilities,"Atlanta, Georgia",92122
LUV,Southwest Airlines,reports,Industrials,Airlines,"Dallas, Texas",92380
SWK,Stanley Black & Decker,reports,Industrials,Industrial Machinery,"New Britain, Connecticut",93556
SBUX,Starbucks Corp.,reports,Consumer Discretionary,Restaurants,"Seattle, Washington",829224
STT,State Street Corp.,reports,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",93751
STE,STERIS plc,reports,Health Care,Health Care Equipment,"Dublin, Ireland",1757898
SYK,Stryker Corp.,reports,Health Care,Health Care Equipment,"Kalamazoo, Michigan",310764
SIVB,SVB Financial,reports,Financials,Regional Banks,"Santa Clara, California",719739
SYF,Synchrony Financial,reports,Financials,Consumer Finance,"Stamford, Connecticut",1601712
SNPS,Synopsys Inc.,reports,Information Technology,Application Software,"Mountain View, California",883241
SYY,Sysco Corp.,reports,Consumer Staples,Food Distributors,"Houston, Texas",96021
TMUS,T-Mobile US,reports,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",1283699
TROW,T. Rowe Price Group,reports,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",1113169
TTWO,Take-Two Interactive,reports,Communication Services,Interactive Home Entertainment,"New York, New York",946581
TPR,"Tapestry, Inc.",reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",1116132
TGT,Target Corp.,reports,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",27419
TEL,TE Connectivity Ltd.,reports,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",1385157
FTI,TechnipFMC,reports,Energy,Oil & Gas Equipment & Services,"London, United Kingdom",1681459
TFX,Teleflex,reports,Health Care,Health Care Equipment,"Wayne, Pennsylvania",96943
TXN,Texas Instruments,reports,Information Technology,Semiconductors,"Dallas, Texas",97476
TXT,Textron Inc.,reports,Industrials,Aerospace & Defense,"Providence, Rhode Island",217346
TMO,Thermo Fisher Scientific,reports,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",97745
TIF,Tiffany & Co.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",98246
TJX,TJX Companies Inc.,reports,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",109198
TSCO,Tractor Supply Company,reports,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",916365
TDG,TransDigm Group,reports,Industrials,Aerospace & Defense,"Cleveland, Ohio",1260221
TRV,The Travelers Companies Inc.,reports,Financials,Property & Casualty Insurance,"New York, New York",86312
TFC,Truist Financial,reports,Financials,Regional Banks,"Charlotte, North Carolina",92230
TWTR,"Twitter, Inc.",reports,Communication Services,Interactive Media & Services,"San Francisco, California",1418091
TSN,Tyson Foods,reports,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",100493
UDR,"UDR, Inc.",reports,Real Estate,Residential REITs,"Highlands Ranch, Colorado",74208
ULTA,Ulta Beauty,reports,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",1403568
USB,U.S. Bancorp,reports,Financials,Diversified Banks,"Minneapolis, Minnesota",36104
UAA,Under Armour Class A,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",1336917
UA,Under Armour Class C,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",1336917
UNP,Union Pacific Corp,reports,Industrials,Railroads,"Omaha, Nebraska",100885
UAL,United Airlines Holdings,reports,Industrials,Airlines,"Chicago, Illinois",100517
UNH,United Health Group Inc.,reports,Health Care,Managed Health Care,"Minnetonka, Minnesota",731766
UPS,United Parcel Service,reports,Industrials,Air Freight & Logistics,"Atlanta, Georgia",1090727
URI,"United Rentals, Inc.",reports,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",1067701
UTX,United Technologies,reports,Industrials,Aerospace & Defense,"Hartford, Connecticut",101829
UHS,"Universal Health Services, Inc.",reports,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",352915
UNM,Unum Group,reports,Financials,Life & Health Insurance,"Chattanooga, Tennessee",5513
VFC,V.F. Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",103379
VLO,Valero Energy,reports,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",1035002
VAR,Varian Medical Systems,reports,Health Care,Health Care Equipment,"Palo Alto, California",203527
VTR,Ventas Inc,reports,Real Estate,Health Care REITs,"Chicago, Illinois",740260
VRSN,Verisign Inc.,reports,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",1014473
VRSK,Verisk Analytics,reports,Industrials,Research & Consulting Services,"Jersey City, New Jersey",1442145
VZ,Verizon Communications,reports,Communication Services,Integrated Telecommunication Services,"New York, New York",732712
VRTX,Vertex Pharmaceuticals Inc,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",875320
VIAC,ViacomCBS,reports,Communication Services,Movies & Entertainment,"New York, New York",1339947
V,Visa Inc.,reports,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",1403161
VNO,Vornado Realty Trust,reports,Real Estate,Office REITs,"New York, New York",899689
VMC,Vulcan Materials,reports,Materials,Construction Materials,"Birmingham, Alabama",1396009
WRB,W. R. Berkley Corporation,reports,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",11544
WAB,Wabtec Corporation,reports,Industrials,Construction Machinery & Heavy Trucks,"Wilmerding, Pennsylvania",943452
WMT,Walmart,reports,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",104169
WBA,Walgreens Boots Alliance,reports,Consumer Staples,Drug Retail,"Deerfield, Illinois",1618921
DIS,The Walt Disney Company,reports,Communication Services,Movies & Entertainment,"Burbank, California",1001039
WM,Waste Management Inc.,reports,Industrials,Environmental & Facilities Services,"Houston, Texas",823768
WAT,Waters Corporation,reports,Health Care,Health Care Distributors,"Milford, Massachusetts",1000697
WEC,Wec Energy Group Inc,reports,Utilities,Electric Utilities,"Milwaukee, Wisconsin",783325
WCG,WellCare,reports,Health Care,Managed Health Care,"Tampa, Florida",1279363
WFC,Wells Fargo,reports,Financials,Diversified Banks,"San Francisco, California",72971
WELL,Welltower Inc.,reports,Real Estate,Health Care REITs,"Toledo, Ohio",766704
WDC,Western Digital,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Irvine, California",106040
WU,Western Union Co,reports,Information Technology,Data Processing & Outsourced Services,"Englewood, Colorado",1365135
WRK,WestRock,reports,Materials,Paper Packaging,"Richmond, Virginia",1636023
WY,Weyerhaeuser,reports,Real Estate,Specialized REITs,"Federal Way, Washington",106535
WHR,Whirlpool Corp.,reports,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",106640
WMB,Williams Cos.,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",107263
WLTW,Willis Towers Watson,reports,Financials,Insurance Brokers,"London, United Kingdom",1140536
WYNN,Wynn Resorts Ltd,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",1174922
XEL,Xcel Energy Inc,reports,Utilities,Multi-Utilities,"Minneapolis, Minnesota",72903
XRX,Xerox,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",108772
XLNX,Xilinx,reports,Information Technology,Semiconductors,"San Jose, California",743988
XYL,Xylem Inc.,reports,Industrials,Industrial Machinery,"White Plains, New York",1524472
YUM,Yum! Brands Inc,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1041061
ZBRA,Zebra Technologies,reports,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",877212
ZBH,Zimmer Biomet Holdings,reports,Health Care,Health Care Equipment,"Warsaw, Indiana",1136869
ZION,Zions Bancorp,reports,Financials,Regional Banks,"Salt Lake City, Utah",109380
ZTS,Zoetis,reports,Health Care,Pharmaceuticals,"Florham Park, New Jersey",1555280
